area_code,city,state,percent_of_area_code_in_city,percent_of_city_in_area_code,city_fips_geoid,city_population
201,Allendale,NJ,1,100,3400700,6505
201,Alpine,NJ,3,100,3401090,1849
201,Bayonne,NJ,4,100,3403580,63024
201,Bergenfield,NJ,1,100,3405170,26764
201,Bogota,NJ,0,100,3406490,8187
201,Carlstadt,NJ,1,100,3410480,6127
201,"Cliffside Park",NJ,0,100,3413570,23594
201,Closter,NJ,1,100,3413810,8373
201,Cresskill,NJ,1,100,3415820,8573
201,Demarest,NJ,1,100,3417530,4881
201,Dumont,NJ,1,100,3418400,17479
201,"East Rutherford",NJ,1,99,3419510,8913
201,Edgewater,NJ,1,100,3420020,11513
201,"Elmwood Park",NJ,1,100,3421300,19403
201,Emerson,NJ,1,100,3421450,7401
201,Englewood,NJ,2,100,3421480,27147
201,"Englewood Cliffs",NJ,1,100,3421510,5281
201,"Fair Lawn",NJ,2,98,3422470,32457
201,Fairview,NJ,0,100,3422560,13835
201,"Fort Lee",NJ,1,100,3424420,35345
201,"Franklin Lakes",NJ,3,100,3424990,10590
201,"Glen Rock",NJ,1,99,3426640,11601
201,Guttenberg,NJ,0,100,3428650,11176
201,Hackensack,NJ,1,100,3428680,43010
201,"Harrington Park",NJ,1,100,3430150,4664
201,"Hasbrouck Heights",NJ,1,100,3430420,11842
201,Haworth,NJ,1,100,3430540,3382
201,Hillsdale,NJ,1,100,3431920,10219
201,Ho-Ho-Kus,NJ,1,100,3432310,4078
201,Hoboken,NJ,1,100,3432250,50005
201,"Jersey City",NJ,7,100,3436000,247597
201,Kearny,NJ,3,79,3436510,40684
201,Leonia,NJ,1,100,3440020,8937
201,"Little Ferry",NJ,1,100,3440680,10626
201,Lodi,NJ,0,19,3441100,24136
201,Maywood,NJ,0,100,3444880,9555
201,"Midland Park",NJ,1,100,3446110,7128
201,Montvale,NJ,1,100,3447610,7844
201,Moonachie,NJ,1,100,3447700,2708
201,"New Milford",NJ,1,100,3451660,16341
201,"North Arlington",NJ,1,100,3452320,15392
201,Northvale,NJ,0,100,3453430,4640
201,Norwood,NJ,1,100,3453610,5711
201,Oakland,NJ,3,100,3453850,12754
201,"Old Tappan",NJ,1,100,3454870,5750
201,Oradell,NJ,1,100,3454990,7978
201,"Palisades Park",NJ,0,100,3455770,19622
201,Paramus,NJ,4,100,3455950,26342
201,"Park Ridge",NJ,1,100,3456130,8645
201,Ramsey,NJ,2,100,3461680,14473
201,Ridgefield,NJ,1,100,3462910,11032
201,"Ridgefield Park",NJ,1,100,3462940,12729
201,Ridgewood,NJ,2,100,3463000,24958
201,"River Edge",NJ,1,100,3463360,11340
201,Rockleigh,NJ,0,100,3464170,531
201,Rutherford,NJ,1,100,3465280,18061
201,"Saddle River",NJ,2,100,3465400,3152
201,Secaucus,NJ,2,100,3466570,16264
201,Tenafly,NJ,2,100,3472420,14488
201,Teterboro,NJ,0,100,3472480,67
201,"Union City",NJ,0,100,3474630,66455
201,"Upper Saddle River",NJ,2,100,3475140,8208
201,Waldwick,NJ,1,100,3476400,9625
201,Wallington,NJ,0,28,3476490,11335
201,"West New York",NJ,0,100,3479610,49708
201,Westwood,NJ,1,100,3480270,10908
201,Wood-Ridge,NJ,0,99,3482570,7626
201,"Woodcliff Lake",NJ,1,100,3482300,5730
202,Washington,DC,100,100,1150000,601723
203,Ansonia,CT,0,100,0901150,19249
203,Bethel,CT,0,100,0904790,9549
203,"Bethlehem Village",CT,1,100,0904945,2021
203,"Branford Center",CT,0,100,0907345,5819
203,Bridgeport,CT,1,100,0908000,144229
203,Byram,CT,0,91,0910660,4146
203,Cannondale,CT,0,100,0911990,141
203,"Cheshire Village",CT,0,100,0914200,5786
203,"Cos Cob",CT,0,100,0917520,6770
203,Danbury,CT,3,100,0918430,80893
203,Darien,CT,2,100,0918920,20732
203,Derby,CT,0,100,0919480,12902
203,"East Haven",CT,1,100,0922980,29257
203,Georgetown,CT,0,100,0930540,1805
203,Glenville,CT,0,100,0931520,2327
203,Greenwich,CT,0,100,0933690,12942
203,"Guilford Center",CT,0,100,0935020,2597
203,"Heritage Village",CT,0,100,0937930,3736
203,"Madison Center",CT,0,100,0944630,2290
203,Meriden,CT,2,100,0946450,60868
203,Milford,CT,2,100,0947515,51271
203,Naugatuck,CT,1,100,0949880,31862
203,"New Haven",CT,1,100,0952000,129779
203,Newtown,CT,0,100,0952910,1941
203,"North Haven",CT,2,100,0954940,24093
203,Norwalk,CT,3,100,0955990,85603
203,"Old Greenwich",CT,0,100,0956900,6611
203,Orange,CT,1,100,0957670,13956
203,Pemberwick,CT,0,100,0959210,3680
203,Ridgefield,CT,0,100,0963900,7645
203,Riverside,CT,0,100,0964530,8416
203,Shelton,CT,2,100,0968100,39559
203,Southport,CT,0,98,0971040,1585
203,Stamford,CT,4,100,0973000,122643
203,Stratford,CT,1,100,0974260,51384
203,Trumbull,CT,2,100,0977270,36018
203,"Wallingford Center",CT,1,100,0978880,18209
203,Waterbury,CT,2,100,0980000,110366
203,"West Haven",CT,1,100,0982800,55564
203,Westport,CT,2,100,0983570,26391
203,"Wilton Center",CT,0,100,0986380,732
203,"Woodbury Center",CT,0,100,0987980,1294
203,Woodmont,CT,0,100,0988050,1488
205,Adamsville,AL,0,100,0100460,4522
205,Addison,AL,0,38,0100484,758
205,Akron,AL,0,100,0100676,356
205,Alabaster,AL,0,100,0100820,30352
205,Aliceville,AL,0,100,0101228,2486
205,Allgood,AL,0,100,0101396,622
205,Altoona,AL,0,100,0101660,933
205,Argo,AL,0,100,0102320,4071
205,Arley,AL,0,100,0102500,357
205,Ashville,AL,0,100,0102908,2212
205,"Bear Creek",AL,0,100,0104852,1070
205,Beaverton,AL,0,100,0104948,201
205,Belk,AL,0,100,0105164,215
205,Bellamy,AL,0,100,0105188,543
205,Berry,AL,0,100,0105932,1148
205,Bessemer,AL,0,100,0105980,27456
205,Birmingham,AL,1,100,0107000,212237
205,Blountsville,AL,0,100,0107456,1684
205,Boligee,AL,0,100,0108104,328
205,Brantleyville,AL,0,100,0109064,884
205,Brent,AL,0,100,0109136,4947
205,Brighton,AL,0,100,0109400,2945
205,Brilliant,AL,0,100,0109424,900
205,"Bristow Cove",AL,0,52,0109457,683
205,"Brook Highland",AL,0,100,0109500,6746
205,Brookside,AL,0,100,0109736,1363
205,Brookwood,AL,0,100,0109808,1828
205,Butler,AL,0,100,0111032,1894
205,Calera,AL,0,100,0111416,11620
205,"Carbon Hill",AL,0,100,0112016,2021
205,Cardiff,AL,0,100,0112040,55
205,Carrollton,AL,0,100,0112304,1019
205,"Center Point",AL,0,100,0113264,16921
205,Centreville,AL,0,100,0113672,2778
205,Chelsea,AL,0,100,0114104,10183
205,Clanton,AL,0,100,0115136,8619
205,Clay,AL,0,100,0115256,9708
205,Cleveland,AL,0,100,0115472,1303
205,Coaling,AL,0,100,0116000,1657
205,Coker,AL,0,100,0116312,979
205,Columbiana,AL,0,100,0116768,4197
205,Concord,AL,0,100,0116936,1837
205,Cordova,AL,0,100,0117368,2095
205,"County Line",AL,0,100,0117968,258
205,Cuba,AL,0,100,0118952,346
205,Detroit,AL,0,100,0120392,237
205,Dora,AL,0,100,0121136,2025
205,"Double Springs",AL,0,100,0121280,1083
205,Dunnavant,AL,0,100,0121890,981
205,Edgewater,AL,0,100,0123032,883
205,Egypt,AL,0,47,0123224,932
205,Eldridge,AL,0,100,0123344,130
205,Emelle,AL,0,100,0123872,53
205,Epes,AL,0,100,0124256,192
205,Ethelsville,AL,0,100,0124472,81
205,Eutaw,AL,0,100,0124664,2934
205,Fairfield,AL,0,100,0125120,11117
205,Fayette,AL,0,100,0125840,4619
205,Forestdale,AL,0,100,0127088,10162
205,Fultondale,AL,0,100,0128552,8380
205,Gainesville,AL,0,100,0128768,208
205,Gallant,AL,0,28,0128816,855
205,Gardendale,AL,0,100,0129056,13893
205,Geiger,AL,0,100,0129392,170
205,"Glen Allen",AL,0,100,0129944,510
205,Gordo,AL,0,100,0130736,1750
205,"Grayson Valley",AL,0,100,0131348,5736
205,Graysville,AL,0,100,0131384,2165
205,Gu-Win,AL,0,100,0132536,176
205,Guin,AL,0,100,0132224,2376
205,Hackleburg,AL,0,100,0132560,1516
205,Haleyville,AL,0,100,0132704,4173
205,Hamilton,AL,0,100,0132848,6885
205,Harpersville,AL,0,100,0133256,1637
205,Hayden,AL,0,100,0133640,444
205,Helena,AL,0,100,0134024,16793
205,"Highland Lake",AL,0,100,0134480,412
205,"Highland Lakes",AL,0,100,0134490,3926
205,Hodges,AL,0,100,0135200,288
205,Holt,AL,0,100,0135704,3638
205,Homewood,AL,0,100,0135800,25167
205,Hoover,AL,0,100,0135896,81619
205,Hueytown,AL,0,100,0136448,16105
205,"Indian Springs Village",AL,0,100,0137465,2363
205,Irondale,AL,0,100,0137864,12349
205,Jasper,AL,0,100,0138416,14352
205,Jemison,AL,0,100,0138608,2585
205,Kansas,AL,0,100,0139280,226
205,Kennedy,AL,0,100,0139520,447
205,Kimberly,AL,0,100,0139856,2711
205,"Lake View",AL,0,100,0140928,1943
205,Leeds,AL,0,100,0141968,11773
205,Lincoln,AL,0,82,0143120,6266
205,Lipscomb,AL,0,100,0143336,2210
205,Lisman,AL,0,100,0143384,539
205,Livingston,AL,0,100,0143720,3485
205,"Locust Fork",AL,0,100,0143888,1186
205,Lynn,AL,0,100,0144800,659
205,Macedonia,AL,0,100,0145316,292
205,Margaret,AL,0,100,0146696,4428
205,Maytown,AL,0,100,0147728,385
205,"McDonald Chapel",AL,0,100,0145208,717
205,McMullen,AL,0,100,0145640,10
205,Meadowbrook,AL,0,100,0147740,8769
205,Memphis,AL,0,100,0148052,29
205,Midfield,AL,0,100,0148376,5365
205,Millport,AL,0,100,0148808,1049
205,Minor,AL,0,100,0149072,1094
205,Montevallo,AL,0,100,0150312,6323
205,Moody,AL,0,100,0151096,11726
205,Morris,AL,0,100,0151456,1859
205,Moundville,AL,0,100,0151648,2427
205,"Mount Olive",AL,0,100,0152344,4079
205,"Mountain Brook",AL,0,100,0151696,20413
205,Mulga,AL,0,100,0152776,836
205,"Natural Bridge",AL,0,100,0153376,37
205,Nauvoo,AL,0,100,0153400,221
205,Nectar,AL,0,100,0153448,345
205,Needham,AL,0,100,0153472,94
205,"New Union",AL,0,13,0154582,955
205,"North Johns",AL,0,100,0155152,145
205,Northport,AL,0,100,0155200,23330
205,Oakman,AL,0,100,0155992,789
205,Odenville,AL,0,100,0156400,3585
205,Oneonta,AL,0,100,0157000,6567
205,Panola,AL,0,100,0157912,144
205,Parrish,AL,0,100,0158272,982
205,Pelham,AL,0,100,0158848,21352
205,"Pell City",AL,0,100,0158896,12695
205,Pennington,AL,0,100,0158968,221
205,"Phil Campbell",AL,0,100,0159496,1148
205,Pickensville,AL,0,100,0159592,608
205,Pinson,AL,0,100,0160648,7163
205,"Pleasant Grove",AL,0,100,0161008,10110
205,Ragland,AL,0,100,0163216,1639
205,Reform,AL,0,100,0164104,1702
205,Riverside,AL,0,100,0164920,2208
205,"Rock Creek",AL,0,100,0165412,1456
205,Rosa,AL,0,100,0166408,316
205,Shelby,AL,0,100,0169672,1044
205,"Shoal Creek",AL,0,100,0169978,1400
205,Sipsey,AL,0,100,0170704,437
205,"Smoke Rise",AL,0,100,0171201,1825
205,Snead,AL,0,100,0171280,835
205,Springville,AL,0,100,0172600,4080
205,"Spruce Pine",AL,0,18,0172672,222
205,Steele,AL,0,16,0172888,1043
205,Sterrett,AL,0,100,0173056,712
205,Sulligent,AL,0,100,0173728,1927
205,Sumiton,AL,0,100,0173848,2520
205,"Susan Moore",AL,0,100,0174160,763
205,"Sylvan Springs",AL,0,100,0174424,1542
205,Tarrant,AL,0,100,0174976,6397
205,Thorsby,AL,0,100,0176080,1980
205,Toxey,AL,0,67,0176632,137
205,Trafford,AL,0,100,0176680,646
205,Trussville,AL,0,100,0176944,19933
205,Tuscaloosa,AL,1,100,0177256,90468
205,Twin,AL,0,100,0177352,399
205,Union,AL,0,100,0177616,237
205,Vance,AL,0,100,0178264,1529
205,Vandiver,AL,0,100,0178312,1135
205,Vernon,AL,0,100,0178480,2000
205,"Vestavia Hills",AL,0,100,0178552,34033
205,Vincent,AL,0,98,0179008,1988
205,"Walnut Grove",AL,0,100,0179728,698
205,Warrior,AL,0,100,0179944,3176
205,"West Blocton",AL,0,100,0180928,1240
205,"West Jefferson",AL,0,100,0181336,338
205,Westover,AL,0,100,0181504,1275
205,Wilsonville,AL,0,100,0182848,1827
205,Wilton,AL,0,100,0182872,687
205,Winfield,AL,0,100,0182992,4717
205,Woodstock,AL,0,100,0183640,1428
205,York,AL,0,100,0184096,2538
206,"Bainbridge Island",WA,16,97,5303736,23025
206,"Boulevard Park",WA,0,100,5307397,5287
206,"Bryn Mawr-Skyway",WA,1,90,5308552,15645
206,Burien,WA,3,100,5308850,33313
206,"Des Moines",WA,1,76,5317635,29673
206,Edmonds,WA,0,5,5320750,39709
206,"Lake Forest Park",WA,1,99,5337270,12598
206,"Mercer Island",WA,3,100,5345005,22699
206,"Normandy Park",WA,2,100,5349415,6335
206,Riverton,WA,0,100,5358865,6407
206,SeaTac,WA,3,99,5362288,26909
206,Seattle,WA,37,100,5363000,608660
206,Shoreline,WA,3,100,5363960,53007
206,Tukwila,WA,2,90,5372625,19107
206,Vashon,WA,21,100,5374305,10624
206,"White Center",WA,1,100,5378225,13495
