area_code,primary_city,primary_state,timezone
201,"Jersey City",NJ,Eastern
202,Washington,DC,Eastern
203,Bridgeport,CT,Eastern
204,Winnipeg,MB,Central
205,Birmingham,AL,Central
206,Seattle,WA,Pacific
207,Portland,ME,Eastern
208,"Boise City",ID,"Mountain / Pacific"
209,Stockton,CA,Pacific
210,"San Antonio",TX,Central
212,"New York",NY,Eastern
213,"Los Angeles",CA,Pacific
214,Dallas,TX,Central
215,Philadelphia,PA,Eastern
216,Cleveland,OH,Eastern
217,Springfield,IL,Central
218,Duluth,MN,Central
219,Hammond,IN,"Eastern / Central"
220,Newark,OH,Eastern
224,Elgin,IL,Central
225,"Baton Rouge",LA,Central
226,London,ON,Eastern
228,Gulfport,MS,Central
229,Albany,GA,Eastern
231,Muskegon,MI,Eastern
234,Akron,OH,Eastern
236,Vancouver,BC,Pacific
239,"Cape Coral",FL,Eastern
240,Germantown,MD,Eastern
248,Troy,MI,Eastern
249,Sudbury,ON,Eastern
250,Kelowna,BC,Pacific
251,Mobile,AL,Central
252,Greenville,NC,Eastern
253,Tacoma,WA,Pacific
254,Killeen,TX,Central
256,Huntsville,AL,Central
260,"Fort Wayne",IN,Eastern
262,Kenosha,WI,Central
267,Philadelphia,PA,Eastern
269,Kalamazoo,MI,Eastern
270,"Bowling Green",KY,"Eastern / Central"
272,Scranton,PA,Eastern
276,Bristol,VA,Eastern
281,Houston,TX,Central
289,Hamilton,ON,Eastern
301,Germantown,MD,Eastern
302,Wilmington,DE,Eastern
303,Denver,CO,Mountain
304,Charleston,WV,Eastern
305,Miami,FL,Eastern
306,Saskatoon,SK,(UTC-6)
307,Cheyenne,WY,Mountain
308,"Grand Island",NE,"Central / Mountain"
309,Peoria,IL,Central
310,"Los Angeles",CA,Pacific
312,Chicago,IL,Central
313,Detroit,MI,Eastern
314,"St. Louis",MO,Central
315,Syracuse,NY,Eastern
316,Wichita,KS,Central
317,"Indianapolis city (balance)",IN,Eastern
318,Shreveport,LA,Central
319,"Cedar Rapids",IA,Central
320,"St. Cloud",MN,Central
321,Orlando,FL,Eastern
323,"Los Angeles",CA,Pacific
325,Abilene,TX,Central
330,Akron,OH,Eastern
331,Aurora,IL,Central
332,"New York",NY,Eastern
334,Montgomery,AL,Central
336,Greensboro,NC,Eastern
337,Lafayette,LA,Central
339,Boston,MA,Eastern
340,"St. Croix",VI,(UTC-4)
343,Ottawa,ON,Eastern
346,Houston,TX,Central
347,"New York",NY,Eastern
351,Lowell,MA,Eastern
352,Gainesville,FL,Eastern
360,Vancouver,WA,Pacific
361,"Corpus Christi",TX,Central
364,"Bowling Green",KY,"Eastern / Central"
365,Hamilton,ON,Eastern
380,Columbus,OH,Eastern
385,"Salt Lake City",UT,Mountain
386,"Palm Coast",FL,Eastern
401,Providence,RI,Eastern
402,Omaha,NE,Central
403,Calgary,AB,Mountain
404,Atlanta,GA,Eastern
405,"Oklahoma City",OK,Central
406,Billings,MT,Mountain
407,Orlando,FL,Eastern
408,"San Jose",CA,Pacific
409,Beaumont,TX,Central
410,Baltimore,MD,Eastern
412,Pittsburgh,PA,Eastern
413,Springfield,MA,Eastern
414,Milwaukee,WI,Central
415,"San Francisco",CA,Pacific
416,Toronto,ON,Eastern
417,Springfield,MO,Central
418,Quebec,QC,Eastern
419,Toledo,OH,Eastern
423,Chattanooga,TN,"Eastern / Central"
424,"Los Angeles",CA,Pacific
425,Bellevue,WA,Pacific
430,Tyler,TX,Central
431,Winnipeg,MB,Central
432,Midland,TX,Central
434,Lynchburg,VA,Eastern
435,"St. George",UT,Mountain
437,Toronto,ON,Eastern
438,Montreal,QC,Eastern
440,Parma,OH,Eastern
442,Oceanside,CA,Pacific
443,Baltimore,MD,Eastern
450,Granby,QC,Eastern
458,Eugene,OR,"Mountain / Pacific"
463,"Indianapolis city (balance)",IN,Eastern
469,Dallas,TX,Central
470,Atlanta,GA,Eastern
475,Bridgeport,CT,Eastern
478,Macon,GA,Eastern
479,"Fort Smith",AR,Central
480,Mesa,AZ,(UTC-7)
484,Allentown,PA,Eastern
501,"Little Rock",AR,Central
502,Louisville,KY,Eastern
503,Portland,OR,Pacific
504,"New Orleans",LA,Central
505,Albuquerque,NM,Mountain
506,Moncton,NB,Atlantic
507,Rochester,MN,Central
508,Worcester,MA,Eastern
509,Spokane,WA,Pacific
510,Oakland,CA,Pacific
512,Austin,TX,Central
513,Cincinnati,OH,Eastern
514,Montreal,QC,Eastern
515,"Des Moines",IA,Central
516,Hempstead,NY,Eastern
517,Lansing,MI,Eastern
518,Albany,NY,Eastern
519,London,ON,Eastern
520,Tucson,AZ,(UTC-7)
530,Redding,CA,Pacific
531,Omaha,NE,Central
534,"Eau Claire",WI,Central
539,Tulsa,OK,Central
540,Roanoke,VA,Eastern
541,Eugene,OR,"Mountain / Pacific"
548,London,ON,Eastern
551,"Jersey City",NJ,Eastern
559,Fresno,CA,Pacific
561,"West Palm Beach",FL,Eastern
562,"Long Beach",CA,Pacific
563,Davenport,IA,Central
567,Toledo,OH,Eastern
570,Scranton,PA,Eastern
571,Arlington,VA,Eastern
573,Columbia,MO,Central
574,"South Bend",IN,"Eastern / Central"
575,"Las Cruces",NM,Mountain
579,Granby,QC,Pacific
580,Lawton,OK,Central
581,Quebec,QC,Eastern
585,Rochester,NY,Eastern
586,Warren,MI,Eastern
587,Calgary,AB,Mountain
601,Jackson,MS,Central
602,Phoenix,AZ,(UTC-7)
603,Manchester,NH,Eastern
604,Vancouver,BC,Pacific
605,"Sioux Falls",SD,"Central / Mountain"
606,Ashland,KY,"Eastern / Central"
607,Binghamton,NY,Eastern
608,Madison,WI,Central
609,Trenton,NJ,Eastern
610,Allentown,PA,Eastern
612,Minneapolis,MN,Central
613,Ottawa,ON,Eastern
614,Columbus,OH,Eastern
615,Nashville,TN,Central
616,"Grand Rapids",MI,Eastern
617,Boston,MA,Eastern
618,Belleville,IL,Central
619,"San Diego",CA,Pacific
620,Hutchinson,KS,"Central / Mountain"
623,Phoenix,AZ,(UTC-7)
626,Pasadena,CA,Pacific
628,"San Francisco",CA,Pacific
629,Nashville,TN,Central
630,Aurora,IL,Central
631,Brentwood,NY,Eastern
636,O'Fallon,MO,Central
639,Saskatoon,SK,(UTC-6)
641,"Mason City",IA,Central
646,"New York",NY,Eastern
647,Toronto,ON,Eastern
650,"San Mateo",CA,Pacific
651,"St. Paul",MN,Central
657,Anaheim,CA,Pacific
660,Sedalia,MO,Central
661,Bakersfield,CA,Pacific
662,Southaven,MS,Central
667,Baltimore,MD,Eastern
669,"San Jose",CA,Pacific
670,Saipan,MP,(UTC+10)
671,Dededo,GU,(UTC+10)
678,Atlanta,GA,Eastern
680,Syracuse,NY,Eastern
681,Charleston,WV,Eastern
682,"Fort Worth",TX,Central
684,"Pago Pago",AS,(UTC-11)
701,Fargo,ND,"Central / Mountain"
702,"Las Vegas",NV,Pacific
703,Arlington,VA,Eastern
704,Charlotte,NC,Eastern
705,Sudbury,ON,Eastern
706,Augusta,GA,Eastern
707,"Santa Rosa",CA,Pacific
708,Cicero,IL,Central
709,"St. Johns",NL,Newfoundland
712,"Sioux City",IA,Central
713,Houston,TX,Central
714,Anaheim,CA,Pacific
715,"Eau Claire",WI,Central
716,Buffalo,NY,Eastern
717,Lancaster,PA,Eastern
718,"New York",NY,Eastern
719,"Colorado Springs",CO,Mountain
720,Denver,CO,Mountain
724,"New Castle",PA,Eastern
725,"Las Vegas",NV,Pacific
727,"St. Petersburg",FL,Eastern
731,Jackson,TN,Central
732,"Toms River",NJ,Eastern
734,"Ann Arbor",MI,Eastern
737,Austin,TX,Central
740,Newark,OH,Eastern
743,Greensboro,NC,Eastern
747,"Los Angeles",CA,Pacific
754,"Fort Lauderdale",FL,Eastern
757,"Virginia Beach",VA,Eastern
760,Oceanside,CA,Pacific
762,Augusta,GA,Eastern
763,"Brooklyn Park",MN,Central
765,Muncie,IN,Eastern
769,Jackson,MS,Central
770,Roswell,GA,Eastern
772,"Port St. Lucie",FL,Eastern
773,Chicago,IL,Central
774,Worcester,MA,Eastern
775,Reno,NV,Pacific
778,Vancouver,BC,Pacific
779,Rockford,IL,Central
780,Edmonton,AB,Mountain
781,Boston,MA,Eastern
782,Halifax,NS,Atlantic
785,Topeka,KS,"Central / Mountain"
786,Miami,FL,Eastern
787,"San Juan",PR,(UTC-4)
801,"Salt Lake City",UT,Mountain
802,Burlington,VT,Eastern
803,Columbia,SC,Eastern
804,Richmond,VA,Eastern
805,Oxnard,CA,Pacific
806,Lubbock,TX,Central
807,Kenora,ON,"Eastern / Central"
808,"Urban Honolulu",HI,(UTC-10)
810,Flint,MI,Eastern
812,Evansville,IN,"Eastern / Central"
813,Tampa,FL,Eastern
814,Erie,PA,Eastern
815,Rockford,IL,Central
816,"Kansas City",MO,Central
817,"Fort Worth",TX,Central
818,"Los Angeles",CA,Pacific
819,Sherbrooke,QC,Eastern
825,Calgary,AB,Mountain
828,Asheville,NC,Eastern
830,"New Braunfels",TX,Central
831,Salinas,CA,Pacific
832,Houston,TX,Central
843,Charleston,SC,Eastern
845,"New City",NY,Eastern
847,Elgin,IL,Central
848,"Toms River",NJ,Eastern
850,Tallahassee,FL,"Eastern / Central"
854,Charleston,SC,Eastern
856,Camden,NJ,Eastern
857,Boston,MA,Eastern
858,"San Diego",CA,Pacific
859,Lexington-Fayette,KY,Eastern
860,Hartford,CT,Eastern
862,Newark,NJ,Eastern
863,Lakeland,FL,Eastern
864,Greenville,SC,Eastern
865,Knoxville,TN,Eastern
867,Whitehorse,YT,"Central / Mountain / Pacific"
870,Jonesboro,AR,Central
872,Chicago,IL,Central
873,Sherbrooke,QC,Eastern
878,Pittsburgh,PA,Eastern
901,Memphis,TN,Central
902,Halifax,NS,Atlantic
903,Tyler,TX,Central
904,Jacksonville,FL,Eastern
905,Hamilton,ON,Eastern
906,Marquette,MI,"Eastern / Central"
907,Anchorage,AK,(UTC-9)
908,Elizabeth,NJ,Eastern
909,"San Bernardino",CA,Pacific
910,Fayetteville,NC,Eastern
912,Savannah,GA,Eastern
913,"Overland Park",KS,Central
914,Yonkers,NY,Eastern
915,"El Paso",TX,"Central / Mountain"
916,Sacramento,CA,Pacific
917,"New York",NY,Eastern
918,Tulsa,OK,Central
919,Raleigh,NC,Eastern
920,"Green Bay",WI,Central
925,Concord,CA,Pacific
928,Yuma,AZ,(UTC-7)
929,"New York",NY,Eastern
930,Evansville,IN,"Eastern / Central"
931,Clarksville,TN,"Eastern / Central"
934,Brentwood,NY,Eastern
936,Conroe,TX,Central
937,Dayton,OH,Eastern
938,Huntsville,AL,Central
939,"San Juan",PR,(UTC-4)
940,Denton,TX,Central
941,"North Port",FL,Eastern
947,Troy,MI,Eastern
949,Irvine,CA,Pacific
951,Riverside,CA,Pacific
952,Bloomington,MN,Central
954,"Fort Lauderdale",FL,Eastern
956,Laredo,TX,Central
959,Hartford,CT,Eastern
970,"Fort Collins",CO,Mountain
971,Portland,OR,Pacific
972,Dallas,TX,Central
973,Newark,NJ,Eastern
978,Lowell,MA,Eastern
979,"College Station",TX,Central
980,Charlotte,NC,Eastern
984,Raleigh,NC,Eastern
985,Houma,LA,Central
989,Saginaw,MI,Eastern
